seam_id,sheet_a,sheet_b,orientation,boundary_name,anchor_name,evidence_description,sheet_a_x1,sheet_a_y1,sheet_a_x2,sheet_a_y2,sheet_b_x1,sheet_b_y1,sheet_b_x2,sheet_b_y2,sigma_along_px,sigma_across_px,measurement_type,confidence,why_not_one_block_off,evidence_crop_a,evidence_crop_b,notes
39-40,39,40,vertical,Ave I (Sealy),19th St,"19th St crossing Sealy; sheet39: 19thSt addrs 818-824/817-823 + Sealy runs 1828 (N blk) and 1902-1906 (S blk) + Methodist Church label in S blk; sheet40: 19thSt addrs 902-910/901-909 + Sealy runs 1827 and 1901-1905; street annotated 80 ft",6055,2523.5,6055,3008.9,535,2497.6,765,2980.0,4,constructed at solve time,DIRECTLY OBSERVED,high,"Sealy avenue runs 18xx above / 19xx below the crossing on BOTH plates - the 1828/1827 to 1902/1901 transition happens only at 19th; 800-block (H-I) vs 900-block (I-J) street addrs prove opposite sides of Sealy",seam39-40_19thSt_sheet39_1to1.jpg,seam39-40_19thSt_sheet40_1to1.jpg,"ADV PASS: sheet40 S face first read visually 18px off (address digits); corrected by profile in text-free bands + corner-vertical check to 2980.0. Face separations 485.4 (39) vs 482.4 (40) vs 80ft drafted - consistent. All coords measured on native-res cache."
39-40,39,40,vertical,Ave I (Sealy),20th St,"20th St crossing Sealy; sheet39: addrs 818-824/817-823 + Sealy runs 1928 (N blk) and 2002-2008 (S blk = brick power house ENG 325KW steel frame roof); sheet40: addrs 902-910/901-909 + Sealy runs 1927 and 2001-2007; 80 ft; 8in W.PIPE dashes mid-street excluded",6055,4835.6,6055,5313.3,535,4799.8,535,5286.3,6,constructed at solve time,DIRECTLY OBSERVED,medium,"Sealy runs 19xx above / 20xx below on both plates - unique to 20th; power house is the only such building on the Sealy seam; 800 vs 900 street-addr blocks prove the two sides",seam39-40_20thSt_sheet39_1to1.jpg,seam39-40_20thSt_sheet40_1to1.jpg,"ADV PASS with downgrade to medium: sheet39 S face is a bold ~12px brick-wall stroke (power house built to lot line, two merged strokes 5306-5318) - centroid used, sigma raised to 6. Widths 477.7 (39) vs 486.5 (40): 9px plate disagreement recorded, not reconciled."
49-50,49,50,vertical,Ave I (Sealy),25th St (Rosenberg),"25th St crossing Sealy - the ONLY 120-ft crossing on this seam (drafted 729/725px vs 480 for 80ft streets); sheet49: addrs 818-824?/817-823 + Sealy run 2502-2506 below + Rosary School/Convent block S; sheet50: addrs 902-910/901-909 + run 2501-2505; 12in W.PIPE mid-street excluded",6015,2383.9,6015,3113.4,535,2382.6,535,3107.9,4,constructed at solve time,DIRECTLY OBSERVED,high,"120-ft drafted width is unique to 25th/Rosenberg on this seam; Sealy runs 24xx above / 25xx below on both plates pin it; 800 vs 900 street-addr blocks prove the two sides of Sealy",seam49-50_25thSt_sheet49_1to1.jpg,seam49-50_25thSt_sheet50_1to1.jpg,"ADV PASS: all four lines thin single strokes (halfwidth 1.5-2.5px); widths 729.5 vs 725.3 = 120ft on both plates. Holy Rosary Church complex on 49 provides secondary confirmation."
49-50,49,50,vertical,Ave I (Sealy),26th St,"26th St crossing Sealy; sheet49: addrs 817-823/818-824 + Sealy run 2602-2610 below; sheet50: addrs 901-909 + run 2601-2607 below; 80 ft; no pipe line in this street band at the seam - clean",6015,4936.9,6015,5416.2,535,4934.5,535,5417.1,4,constructed at solve time,DIRECTLY OBSERVED,high,"Sealy runs 25xx above / 26xx below on both plates - unique to 26th; 800 vs 900 street-addr blocks prove the sides; Orthodox Synagogue in 49's 26xx block corroborates",seam49-50_26thSt_sheet49_1to1.jpg,seam49-50_26thSt_sheet50_1to1.jpg,"ADV PASS: clean thin lines; widths 479.3 vs 482.6 = 80ft; block pitch 25thS-26thN 1823.5 (49) vs 1826.6 (50) consistent."
11-12,11,12,vertical,Ave C (Mechanic),25th St (Rosenberg),"25th St crossing Mechanic - 120-ft street (drafted 728/731px); sheet11: addrs 217-223 + Mechanic run 2502-2506 below + GALVESTON IRON WKS label (Machine Shop 1st/Pattern Shop 2nd); sheet12: addrs 301-307 + run 2501-2505 + Bl.Sm.& Wagon Shop Painting 2nd; 12in W.PIPE mid-street excluded",5895,2398.3,6000,3126.0,760,2388.0,760,3118.9,4,constructed at solve time,DIRECTLY OBSERVED,high,"120-ft width unique to 25th on this seam; Mechanic runs 24xx above / 25xx below on both plates; 200-block (B-C) vs 300-block (C-D) street addrs prove opposite sides of Mechanic; Iron Works / Wagon Shop labels pin the exact blocks",seam11-12_25thSt_sheet11_1to1.jpg,seam11-12_25thSt_sheet12_1to1.jpg,"ADV PASS: sheet11 N face is a double line (building wall on lot line at 2398 + porch edge at 2407); 120-ft drafted width arbitrates - upper line is the face (3126.0-728=2398). Sheet12 continuation-box bracket rules at x<200 explicitly excluded from bands."
11-12,11,12,vertical,Ave C (Mechanic),26th St,"26th St crossing Mechanic - street LABELED 26TH ST on sheet11 in the band; sheet11: addrs 217-223? partially 315? + Mechanic run 2602-2608 below; sheet12: addrs 301-307 + run 2601-2607 + Boarding label in S blk; 80 ft",5850,4964.3,5825,5443.8,760,4951.3,760,5435.9,4,constructed at solve time,DIRECTLY OBSERVED,medium,"Printed 26TH ST label on sheet11; Mechanic runs 25xx above / 26xx below on both plates - unique to 26th; 200 vs 300 street-addr blocks prove the sides",seam11-12_26thSt_sheet11_1to1.jpg,seam11-12_26thSt_sheet12_1to1.jpg,"ADV PASS with downgrade to medium: dashed iron-clad corner sheds (2602 on 11, 2601 on 12) occupy both Mechanic corners, so S faces measured 175-350px west of the corner on the continuous solid face line - straightness over that stretch verified by scan but a jog inside the shed zone cannot be fully excluded. Widths 479.5 vs 484.6 = 80ft."
40-44,40,44,horizontal,21st or Center St,Broadway (Ave J),"Broadway crossing 21st; sheet40: Broadway runs 2024-2028 (W face) / 2023?-2027 (E face) = 2000-block ending at 21st; sheet44: runs 2102-2106 / 2101-2105 = 2100-block starting at 21st; 21st frontage addrs 922-924 / 1002-1006 (40) and 921-923 / 1001-1003 (44); annotated 150 ft ROW",2026.9,6940,2629.1,6950,2038.8,860,2645.0,830,4,constructed at solve time,DIRECTLY OBSERVED,high,"Broadway avenue runs 20xx on sheet40 side vs 21xx on sheet44 side - that transition happens only at 21st; street addrs 900-block (I-J) west vs 1000-block (J-K) east pin Broadway itself; no other 100-ft-drafted crossing on this seam",seam40-44_Broadway_sheet40_1to1.jpg,seam40-44_Broadway_sheet44_1to1.jpg,"ADV PASS after correction: initial east-face candidates (x~2810 on 40 / x~2745 on 44) were interior building walls - rejected after 1to1 corner zooms showed the true faces at 2629/2645 carrying the address digits and the 1002/1001 corner chamfers. Dashed corner sheds excluded. Drafted face separation 602/606px = 100ft (esplanade ROW beyond lot faces accounts for the 150ft annotation)."
40-44,40,44,horizontal,21st or Center St,Ave K,"Ave K crossing 21st (70 ft); sheet40: K runs 2026-2028 (W) / 2025-2027 (E, printed W of E face); sheet44: runs 2102-2104 / 2101-2103; 21st addrs 1022-1024 / 1102-1106 (40) and 1021-1023 / 1101-1105 (44); compass rose in street band on 44 avoided",4212.4,6980,4635.4,6980,4230.7,825,4648.0,825,4,constructed at solve time,DIRECTLY OBSERVED,high,"K runs 20xx (40) vs 21xx (44) - transition only at 21st; street addrs 1000-block (J-K) west vs 1100-block (K-L) east pin Ave K; 70-ft width distinguishes from Broadway (100) and alleys (20)",seam40-44_AveK_sheet40_1to1.jpg,seam40-44_AveK_sheet44_1to1.jpg,"ADV PASS: sheet40 lines faint (min-ink 88-97 on first scan) but confirmed real and continuous by corner zoom (corner + digits semantics); final caliper min-ink 13-27 in tight windows. Widths 423.0 vs 417.3 = 70ft. Dashed corner sheds on 44 excluded."
44-50,44,50,horizontal,24th St,Broadway (Ave J),"Broadway crossing 24th; sheet44: Broadway runs 2324-2328 / 2323-2327 (2300-block ending at 24th) + 24th addrs 922-924 / 1002-1006; sheet50: runs 2402-2408 / 2401-2407 (2400-block starting at 24th) + addrs 921-923 / 1001-1005; sheet44 annotates 100 ft here - matching drafted separation; sheet50 annotates 150 ft ROW",2011.5,6940,2618.6,6940,1999.5,800,2605.4,760,4,constructed at solve time,DIRECTLY OBSERVED,high,"Broadway runs 23xx (44 side) vs 24xx (50 side) - transition only at 24th; street addrs 900-block west vs 1000-block east pin Broadway; drafted 100-ft separation unique on this seam",seam44-50_Broadway_sheet44_1to1.jpg,seam44-50_Broadway_sheet50_1to1.jpg,"ADV PASS after correction: first east-face reads (2813/2811) were empty paper - grid misreads on the display; scans + digit semantics located true faces 2618.6/2605.4. Widths 607.1 vs 605.9 = 100ft, matching the 21st-St crossing exactly. NOTE plate annotation disagreement: 44 prints 100' at 24th but 150' at 21st; 50 prints 150'; drafted lot-face separation is ~100ft at both."
44-50,44,50,horizontal,24th St,Ave K,"Ave K crossing 24th (70 ft); sheet44: K runs 2324-2328 / 2323-2327 + 24th addrs 1022-1024 / 1102-1104 + printed Scale of Feet bar in street band (excluded); sheet50: runs 2402-2410 / 2401-2409 + addrs 1023 / 1101-1103",4195.3,6915,4620.4,6915,4184.6,800,4613.1,800,4,constructed at solve time,DIRECTLY OBSERVED,high,"K runs 23xx (44) vs 24xx (50) - transition only at 24th; 1000 vs 1100 street-addr blocks flank K; 70-ft width vs Broadway 100 and alleys 20",seam44-50_AveK_sheet44_1to1.jpg,seam44-50_AveK_sheet50_1to1.jpg,"ADV PASS: thin clean lines (halfwidth 1.5-2.5, min-ink 13-27); widths 425.1 vs 428.5 = 70ft; anchor pitch Broadway-W to K-W 2183.8 (44) vs 2185.1 (50) consistent."
