sheet_a,sheet_b,orientation,boundary_street,ambiguity,principal_risk,strongest_anchors,recommended_crops,priority
7,8,vertical,Ave C (Mechanic),MEDIUM,"Dense mixed industrial/commercial frontage both sides; stain on sheet 8 near 18th-19th; 10-in/6-in W.PIPE dashes run down the street band and must not be measured","19th St crossing (addr 215-223 on 7; 301-307 + 1823-1829 on 8); 20th St crossing; Adam Sattler Carriage Mfy, Rex Steam Laundry, Island City Wood Works labels","19th & 20th St corners: sheet7 x 5600-6653, sheet8 x 0-1050, y 2450-3350 and 4800-5700",2
9,10,vertical,Ave C (Mechanic),LOW,"Very dense CBD interiors could tempt shape-matching, but labels are abundant and unique","Cotton Exchange Bldg, Galveston News, Security Building, Washington Hotel, Royal Hotel, Mistrot Bros - all naming their corners; 22nd/23rd St crossings","22nd & 23rd St corners at the seam edges",3
11,12,vertical,Ave C (Mechanic),MEDIUM,"Sheet 12 near-seam blocks are largely EMPTY lot outlines (2500/2600 blocks) - a shape-only match could slide one block; sheet 12 strip sparse in labels","Printed block numbers 625 and 626 on sheet 11; street labels 26TH ST and 27TH ST on 11; addr runs 2402-2428(11)/2401-2427(12); Clark Courts / Texas Hotel (11), Jewish Immigrant Bureau (12)","25th & 26th St corners: sheet11 x 5600-6653, sheet12 x 0-1050, y 2450-3350 and 5000-5900",1
8,39,vertical,Ave F (Church),LOW,"Sheet 8 side is repetitive dwellings, but sheet 39 side has unique church landmarks directly on the seam frontage","Presbyterian Church + Sunday School Rms (39, 1901-1927 Church blk); St Mary Cathedral RC + Priest's D. (39); addr 601-611 runs; 19th/20th crossings","19th & 20th St corners at the seam edges",3
10,43,vertical,Ave F (Church),LOW,"Dense but extremely well-labelled on both sides","Scottish Rite Cathedral (10), Tremont Hotel (10), Interurban Terminal Station (10), Southwestern Telegraph & Telephone (10); Galveston House side labels on 43; 22nd/23rd crossings","22nd & 23rd St corners at the seam edges",3
12,49,vertical,Ave F (Church),LOW,"Sheet 49's 2500-block near seam mostly empty around the PO, but the landmark is unmistakable","United States Post Office & Custom House (49), Atlanta Hotel (49), Seaboard Lumber & Milling Co (12); 25th/26th crossings","25th & 26th St corners at the seam edges",3
39,40,vertical,Ave I (Sealy),HIGH,"Repetitive 1-2 storey dwellings on the 40 side with almost no names; 8-in W.PIPE dashes in street band; essential tie - sheet 40 connects to the block only via 39-40 and 40-44","Methodist Church (39, Sealy frontage betw 19th-20th); electric power house complex (39, 20th-21st); street addr 800-blocks on 39 side vs 900-blocks on 40 side of every crossing; Sealy runs 1802-2028(39)/1801-2027(40)","19th & 20th St corners: sheet39 x 5600-6653, sheet40 x 0-1050, y 2450-3350 and 4800-5700",1
43,44,vertical,Ave I (Sealy),LOW,"Landmark-rich","Hebrew B'nai Israel Synagogue (43), First Baptist Church (43), Rosenberg Library (43), Galveston House Apartments (44); 22nd/23rd crossings","22nd & 23rd St corners at the seam edges",3
49,50,vertical,Ave I (Sealy),MEDIUM,"Sheet 50 side is sparse repetitive dwellings with no names near the seam; all landmarks one-sided on 49; sheet 50 connects only via 49-50 and 44-50","Holy Rosary Church + School + Convent (49, Sealy frontage betw 25th-26th); Orthodox Synagogue (49, 26th-27th); addr 2402-2428(49)/2401-2427(50); 800 vs 900 street addr blocks","25th & 26th St corners: sheet49 x 5600-6653, sheet50 x 0-1050, y 2450-3350 and 5000-5900",1
7,9,horizontal,21st or Center St,MEDIUM,"Left third is bay-front track yard along Water - no lot lines, and rail lines could be mistaken for drafted geometry; Ave A band itself full of tracks","Strand (Ave B) crossing corners with addr 102-124/202-224 (7) and 101-123/201-223 (9); American Brewing Assn + Galveston Ice & Cold (7); Cotton Exchange Bldg corner at Mechanic (9, clipped - junction QA only); Seamen Home (7)","Strand crossing: sheet7 y 6300-7400, sheet9 y 100-1200, x 4900-5900; Water crossing x 2400-3400 (attempt, may be context only)",1
8,10,horizontal,21st or Center St,LOW,"Dense but well-labelled","Elks Home (8), To Be Theatre / Moving Pictures (8), Interurban Terminal Station (10), Billiards/Cigar Fcty (10); Ave D (Market) and Ave E (Post Office) crossings with addr 301-523 runs","Market & Post Office crossings at the seam edges",3
39,43,horizontal,21st or Center St,MEDIUM,"Sheet 43 side sparse dwellings; big open square with diagonal walks adjoins seam on 39 side - few near-seam structure lines there","St Mary Cathedral corner block (39), Ball School Annex (39), fire-station block w/ hose note (39); addr 601-623/701-723/801-823 on 43; Ave G (Winnie)/Ave H (Ball) crossings","Winnie & Ball crossings at the seam edges",2
40,44,horizontal,21st or Center St,HIGH,"Highest one-block-shift risk of all 17: repetitive unnamed dwellings both sides; only named anchor Marble Works (44); ties column 4 rows 1-2 - loop-closing seam for sheets 40/44","Broadway (Ave J) crossing - unique 150-ft width annotation both sides; Ave K crossing; street addr 902-924/1002-1024 (40) vs 901-923/1001-1023 (44)","Broadway crossing: sheet40 y 6300-7400, sheet44 y 100-1200, x 2200-3200; Ave K crossing x 5100-6100",1
9,11,horizontal,24th St,MEDIUM,"Left 40% is Galveston Wharf Co track yard - no lot geometry; heavy warehouse blocks repetitive","Mistrot Bros Whol Dry Goods (9), Clark Courts printing (11), Wholesale Grocers/Whol Liquors/Whol Fruit (11), hardware + Hay & Feed labels (9); Strand crossing; addr 101-123/201-211/213-223","Strand crossing corners at the seam edges",2
10,12,horizontal,24th St,LOW,"Well-labelled both sides","Bon Marche Dry Goods (10), Model Laundry & Dye Wks (10), Jewish Immigrant Information Bureau (12), Trent Hotel (12), Manhattan Hotel (12); Market/Post Office crossings; addr 301-523 runs","Market & Post Office crossings at the seam edges",3
43,49,horizontal,24th St,MEDIUM,"Moderate density, few names; 49 side mostly dwellings","German Luth'n Church + Sunday School (49, betw Winnie corner); addr 602-624/702-724/802-824 (43) vs 601-623/701-723/801-823 (49); Winnie/Ball crossings","Winnie & Ball crossings at the seam edges",2
44,50,horizontal,24th St,HIGH,"Sparse repetitive residential on both sides, garages and unnamed dwellings only; weak tie for sheet 50 (only 49-50 and 44-50 connect it)","Broadway (Ave J) crossing - 150-ft width + esplanade drafted both sides; Ave K crossing; addr 902-924/1002-1024 (44) vs 901-923/1001-1023 (50)","Broadway crossing: sheet44 y 6300-7400, sheet50 y 100-1200, x 2200-3200; Ave K crossing x 5100-6100",1
